id,yearBuilt,numberOfFloors,energyStarScore,electricity,emissionsIntensity
647,1953,1,27.0,1703180.0,0.4
21777,2007,42,27.0,4505522.0,1.4
40,1994,4,27.0,3111871.0,2.2
21106,2007,6,27.0,2511795.0,2.1
26691,1986,4,27.0,1136509.0,0.1
20324,2000,2,27.0,769203.0,1.3
20986,1968,1,28.0,501298.0,2.4
40031,1960,0,28.0,1970932.0,0.8
21673,1901,3,28.0,610554.0,2.1
296,1917,4,28.0,1177202.0,0.7
22138,1927,2,28.0,204354.0,2.1
22830,1971,1,28.0,708900.0,0.1
20987,1969,2,28.0,1150032.0,1.7
24179,1991,4,28.0,2424431.0,0.1
23977,1951,1,28.0,667585.0,2.5
21652,1925,2,28.0,241554.0,3.3
20762,1999,13,28.0,6043805.0,1.8
22058,2000,4,28.0,6068027.0,0.3
23432,1985,4,29.0,829619.0,0.1
21792,1962,1,29.0,784759.0,0.7
25163,1960,1,29.0,367104.0,4.7
25758,1920,4,29.0,1672094.0,0.1
19484,1910,11,29.0,2821266.0,0.7
564,1970,1,29.0,2172877.0,1.4
20372,1925,9,30.0,4078340.0,1.8
197,1965,4,30.0,8642241.0,0.2
22579,1968,1,30.0,280421.0,0.3
20367,1990,3,30.0,666722.0,2.2
811,1946,1,30.0,3812081.0,0.1
461,1979,4,31.0,4063197.0,0.2
24607,1990,4,31.0,1183611.0,0.1
26423,1983,4,31.0,950831.0,0.1
657,2006,0,31.0,29062583.0,1.3
24534,1973,1,31.0,435730.0,4.1
20132,1948,2,31.0,268005.0,1.7
843,2008,5,31.0,4040589.0,2.5
21921,1975,1,31.0,7025202.0,4.6
762,1924,3,32.0,7368238.0,0.3
23297,1904,1,32.0,1180267.0,2.9
22095,1957,2,32.0,82270.0,1.0
26717,1905,4,32.0,1076613.0,2.8
607,2002,1,32.0,8564386.0,4.5
446,1963,1,32.0,579263.0,2.6
25997,1993,5,32.0,2863538.0,1.6
24868,1965,1,32.0,137084.0,2.3
284,1952,2,32.0,1172987.0,1.6
521,2000,4,32.0,4631176.0,0.2
26482,1974,4,32.0,2583814.0,0.1
23846,1979,3,32.0,1632617.0,0.7
50000,2014,7,32.0,1691790.0,2.0
404,1914,4,33.0,4860650.0,0.2
24037,1983,4,33.0,1257991.0,0.1
20626,1975,1,33.0,471874.0,0.0
24441,1905,3,33.0,292770.0,2.5
50167,2016,7,33.0,2946959.0,1.5
147,1954,5,33.0,31224901.0,6.0
27582,2002,27,34.0,5172892.0,1.8
49736,2013,4,34.0,1083065.0,3.3
49829,2013,6,34.0,4282879.0,2.7
117,1962,4,34.0,2052966.0,2.9
289,2003,3,34.0,1867914.0,1.4
26738,1959,4,34.0,1016750.0,0.1
27381,1938,3,34.0,365573.0,1.6
24587,1992,1,34.0,828950.0,0.9
20928,1954,2,34.0,568027.0,2.7
25360,1948,2,34.0,3094723.0,0.5
24560,1949,2,34.0,611315.0,2.1
25435,1990,2,34.0,2833169.0,0.6
27799,1950,1,34.0,2452148.0,1.2
19858,1978,2,34.0,2088927.0,0.2
19576,1979,1,35.0,1007276.0,0.1
20093,2008,27,35.0,9864594.0,0.8
24781,1964,1,35.0,561197.0,2.3
21656,1922,2,35.0,208179.0,0.4
22135,1967,3,35.0,869700.0,0.1
579,1968,1,35.0,1347770.0,0.4
20585,2015,3,35.0,1163013.0,0.1
20565,1962,1,35.0,4703725.0,8.1
24332,1970,1,35.0,390570.0,1.1
27361,1949,4,35.0,449857.0,3.9
783,1907,6,35.0,3711676.0,0.2
24451,1915,2,36.0,1088233.0,1.2
23677,1968,6,36.0,2158697.0,0.6
20120,1986,3,36.0,1360114.0,0.1
26331,1997,3,36.0,2223903.0,0.2
20497,1988,5,36.0,2273572.0,0.0
23570,1909,4,36.0,341380.0,3.0
24542,1982,4,37.0,636489.0,2.1
20503,1990,2,37.0,2137747.0,0.7
24274,1960,2,37.0,2542126.0,0.2
23858,1900,2,37.0,1752403.0,3.4
19884,1990,26,37.0,8011697.0,1.8
21388,1950,1,37.0,424337.0,2.6
25956,1925,3,37.0,786030.0,1.3
26832,1979,8,37.0,3000889.0,0.8
23,1983,28,37.0,20659960.0,2.1
20224,1984,4,37.0,2002181.0,0.1
546,1966,1,37.0,1517740.0,0.0
24714,1938,2,37.0,776312.0,1.9
190,2007,3,37.0,2043548.0,0.4
50026,2015,5,37.0,1630622.0,1.8
36034,1996,3,37.0,3537347.0,2.7
49786,2013,8,37.0,3583122.0,2.7
20425,1923,2,38.0,666862.0,1.1
27902,1997,4,38.0,892660.0,1.2
27736,1978,4,38.0,729014.0,0.1
285,1952,3,38.0,2212385.0,1.9
26574,1969,11,38.0,3832219.0,0.7
21733,1997,4,38.0,834313.0,2.7
16,1998,25,38.0,18124448.0,1.9
24537,1979,1,38.0,1834045.0,2.1
24225,1937,1,38.0,841460.0,0.4
316,2003,8,38.0,12591611.0,3.5
702,1937,2,38.0,1221779.0,0.8
23286,1948,3,38.0,766864.0,3.2
21202,1970,3,38.0,2045531.0,0.9
438,1992,14,39.0,27276009.0,0.3
23836,1983,2,39.0,1096793.0,0.1
20770,1992,4,39.0,1131756.0,0.1
19679,1978,13,39.0,3792250.0,0.1
19741,1980,8,39.0,2121949.0,0.5
20258,1925,3,39.0,999984.0,0.1
26773,1954,1,39.0,330079.0,0.7
23240,1990,4,39.0,1073699.0,0.1
458,1974,5,39.0,5417133.0,0.2
5,1926,10,39.0,2626057.0,4.2
19946,1928,4,39.0,249334.0,3.6
717,1985,2,39.0,5702319.0,0.6
23789,1965,11,39.0,2424391.0,0.1
50148,2016,7,39.0,5603156.0,3.9
27584,1979,10,40.0,3532259.0,0.1
19864,1908,3,40.0,796827.0,1.2
49873,2014,25,40.0,7639352.0,1.4
23752,1985,2,40.0,797604.0,0.1
21479,1989,8,40.0,1641440.0,0.1
19874,1926,3,40.0,2369996.0,0.1
20021,1971,4,40.0,2498099.0,0.1
26017,1981,4,40.0,852132.0,2.1
21262,1909,4,40.0,885184.0,3.0
22834,2004,2,40.0,1678847.0,2.6
268,1990,5,40.0,57560304.0,7.9
444,2001,1,41.0,2240369.0,0.0
23098,1965,1,41.0,2997399.0,5.8
26236,1946,2,41.0,692798.0,0.1
22290,1985,4,41.0,914652.0,0.1
22240,2000,1,41.0,7524279.0,7.6
23791,1926,3,41.0,790125.0,0.1
21424,2009,3,41.0,405234.0,1.0
26098,1938,2,41.0,195664.0,2.4
21784,1914,2,41.0,1396656.0,0.1
21180,1996,3,41.0,3353579.0,0.2
24376,1990,2,41.0,2163862.0,0.2
723,1970,1,41.0,2697285.0,0.2
694,2007,1,41.0,5143628.0,0.4
23419,1973,2,41.0,904914.0,5.8
20167,1957,2,41.0,560422.0,1.7
25723,2013,6,41.0,3074052.0,2.4
459,1979,6,41.0,6235075.0,0.2
23430,1991,4,41.0,875211.0,1.0
49939,2013,2,41.0,1125249.0,0.1
24726,1954,1,42.0,533604.0,2.1
21787,1964,1,42.0,466071.0,0.0
598,1957,1,42.0,1217675.0,1.5
447,1963,1,42.0,1062896.0,0.9
25169,1925,3,42.0,300665.0,3.8
27598,2002,1,42.0,324726.0,0.9
25322,1984,4,42.0,808705.0,0.1
21239,1949,1,42.0,386999.0,1.8
42069,1993,1,42.0,2068022.0,0.2
24539,1979,1,42.0,522367.0,1.9
25464,1965,4,42.0,1550953.0,2.4
241,1968,4,42.0,2834203.0,3.8
26989,2000,4,42.0,2470444.0,1.3
620,1910,3,43.0,1825540.0,0.4
322,1968,3,43.0,9838444.0,0.4
49733,2013,16,43.0,7165531.0,0.8
678,1900,6,43.0,11261292.0,1.4
26723,1979,12,43.0,2493596.0,1.2
635,1914,2,43.0,2895646.0,2.6
821,1966,2,43.0,2566302.0,0.1
410,1973,19,43.0,14558287.0,3.1
22438,1975,1,43.0,609503.0,1.0
20613,1951,1,43.0,407700.0,1.7
27166,1963,3,43.0,1011972.0,0.1
26706,1900,3,43.0,998209.0,1.3
26919,1928,3,43.0,354619.0,2.5
764,1970,29,43.0,29495164.0,1.0
25791,1907,3,43.0,278775.0,3.5
34348,1991,3,43.0,6910477.0,0.7
20141,1990,2,43.0,783880.0,1.2
540,1966,1,44.0,379377.0,0.0
20396,1900,5,44.0,1391072.0,0.5
21796,1905,1,44.0,1237807.0,1.7
577,1981,6,44.0,6959214.0,0.2
575,1974,5,44.0,4334847.0,3.5
21958,1957,16,44.0,2500908.0,2.7
23510,1978,4,44.0,830472.0,2.1
656,2004,0,44.0,13732815.0,2.7
26390,1971,10,44.0,3207286.0,0.6
24018,1912,2,44.0,300560.0,2.6
21145,1986,2,44.0,1867925.0,0.3
324,1978,12,44.0,14905718.0,0.3
23761,1997,3,44.0,618859.0,0.6
27830,1920,3,44.0,324572.0,5.9
441,1979,5,44.0,5770927.0,3.0
20198,1961,3,44.0,1452423.0,0.1
24883,1991,7,44.0,1120461.0,0.6
462,1960,3,44.0,2920451.0,1.4
27947,1929,1,44.0,798356.0,3.6
25652,1967,3,44.0,2402736.0,0.6
21215,1978,3,44.0,3076718.0,0.1
28020,1953,1,45.0,519113.0,2.3
20543,2002,3,45.0,859175.0,0.1
20325,1989,3,45.0,3192856.0,7.6
21646,1949,3,45.0,530101.0,2.9
19747,1974,5,45.0,1971361.0,3.2
21582,1993,3,45.0,874564.0,1.6
20630,1967,4,45.0,3457731.0,0.3
20311,1971,5,45.0,2197792.0,0.7
27863,1929,4,45.0,297788.0,2.4
761,1940,3,45.0,2349116.0,0.3
24479,1965,1,45.0,5542047.0,6.2
23639,2006,2,45.0,1366008.0,0.1
22066,1909,3,45.0,746479.0,1.4
23172,2005,4,45.0,1788429.0,0.1
297,2009,6,45.0,1726084.0,1.1
22519,1989,1,45.0,1460742.0,1.2
25354,1994,27,45.0,5591923.0,1.5
19613,1979,3,46.0,3470615.0,0.2
27189,1969,10,46.0,6375087.0,0.1
24216,1962,1,46.0,981795.0,2.2
24156,1925,3,46.0,289652.0,3.9
24115,1959,1,46.0,619183.0,0.3
24725,1926,1,46.0,81721.0,1.5
22479,1961,1,46.0,4307718.0,9.8
23928,1999,3,46.0,1895120.0,0.5
19969,2002,4,46.0,1382057.0,0.1
21896,1981,1,46.0,229478.0,3.0
32454,1925,5,46.0,507952.0,3.6
21520,1964,5,46.0,3271135.0,1.0
21659,1968,4,46.0,1118432.0,0.1
20267,1916,3,46.0,602477.0,2.6
23323,1965,3,46.0,1884616.0,0.1
25529,1974,23,46.0,5658481.0,0.5
19445,2000,3,46.0,1742994.0,0.4
26880,1949,2,47.0,2327066.0,0.1
25568,2008,4,47.0,3029440.0,0.2
20586,1928,3,47.0,268429.0,3.4
21622,1977,1,47.0,868274.0,0.1
35431,1970,5,47.0,1061780.0,0.1
24348,1966,1,47.0,582770.0,0.2
25965,1963,16,47.0,6558751.0,10.7
21175,1991,4,47.0,1042109.0,0.1
394,2001,5,47.0,8072314.0,0.2
25137,2001,12,47.0,4412828.0,0.9
27596,2006,6,47.0,878893.0,0.4
21794,1968,5,47.0,1229136.0,0.9
24484,1950,2,47.0,172350.0,1.6
20764,1970,8,47.0,1508290.0,1.9
19915,1925,7,47.0,1294821.0,0.9
793,1973,2,47.0,7217475.0,0.3
49990,2015,4,47.0,607103.0,0.1
27397,1911,4,47.0,294122.0,3.2
518,1967,1,47.0,8412620.0,4.7
617,1900,5,47.0,2766360.0,0.1
122,1991,2,47.0,2061666.0,0.1
22165,1961,1,47.0,852595.0,0.5
26135,1977,4,48.0,612382.0,0.9
19875,1923,3,48.0,324277.0,4.6
19848,2003,2,48.0,3438784.0,0.3
832,1987,5,48.0,4776984.0,0.1
15,1969,11,48.0,5671928.0,4.1
20432,2008,7,48.0,12161259.0,0.9
26159,1983,22,48.0,7939884.0,0.1
23956,1931,2,48.0,460698.0,1.1
21745,1974,7,48.0,3061057.0,2.0
19520,1922,2,48.0,124399.0,2.3
24823,1900,2,48.0,67407.0,0.6
50078,2015,20,48.0,6690287.0,1.3
20743,1963,2,48.0,133249.0,2.1
24743,1909,3,48.0,397680.0,2.1
25055,2006,4,48.0,1344564.0,0.1
24538,1979,1,48.0,1543834.0,1.4
49735,2012,4,48.0,1164408.0,2.9
50298,2017,12,48.0,21378708.0,2.7
24494,1990,2,49.0,2672978.0,0.1
27359,1971,4,49.0,2149030.0,0.1
600,1956,1,49.0,2549522.0,0.2
32,1991,8,49.0,5697228.0,2.4
23101,1963,11,49.0,2338437.0,0.2
26528,1957,1,49.0,1099619.0,0.1
